frequency (Hz),vertical,horizontal,axial
1.5625,0.000408882,0.000376689,0.000533059
3.125,0.000768564,0.000754791,0.000976533
4.6875,0.00107383,0.000924607,0.00137367
6.25,0.000251076,0.000871472,0.00116236
7.8125,0.00126485,0.00106376,0.000992175
9.375,0.00179286,0.000927096,0.000997348
10.9375,0.00159045,0.00114585,0.00120454
12.5,0.00116996,0.00140242,0.00110523
14.0625,0.00179106,0.00107696,0.00112829
15.625,0.00244576,0.000638635,0.000723899
17.1875,0.00236627,0.0015056,0.00170932
18.75,0.0015181,0.00180002,0.00150675
20.3125,0.00131605,0.00122343,0.00100428
21.875,0.00181805,0.000781055,0.0009901
23.4375,0.00317843,0.000723217,0.00151061
25,0.00232963,0.000815175,0.0016964
26.5625,0.0015804,0.00107318,0.00135644
28.125,0.000848557,0.00078304,0.00100649
29.6875,0.00178066,0.00115167,0.00106016
31.25,0.00581242,0.00349232,0.00141653
32.8125,0.037577,0.0250477,0.00822563
34.375,0.166748,0.111682,0.0341652
35.9375,0.154007,0.102915,0.0317448
37.5,0.024678,0.0159811,0.00660179
39.0625,0.00790273,0.00534072,0.00274363
40.625,0.00103193,0.00123922,0.00170668
42.1875,0.000531469,0.00143358,0.00110558
43.75,0.0044346,0.00206347,0.000538529
45.3125,0.00599537,0.00279645,0.00060974
46.875,0.197183,0.076214,0.0566666
48.4375,0.388891,0.151795,0.110232
50,0.188315,0.0727763,0.0535957
51.5625,0.0153863,0.0192367,0.000998977
53.125,0.0179822,0.0208921,0.00331163
54.6875,0.0110663,0.0146552,0.00399414
56.25,0.0607687,0.0859322,0.0336876
57.8125,0.30273,0.420684,0.171275
59.375,0.306607,0.426772,0.174715
60.9375,0.0614236,0.0880484,0.036677
62.5,0.00839668,0.0118431,0.00472099
64.0625,0.0070841,0.00580884,0.00177585
65.625,0.00296359,0.00230496,0.00124098
67.1875,0.003605,0.00396352,0.0011216
68.75,0.0581822,0.0513301,0.0114399
70.3125,0.0981986,0.0860305,0.0192363
71.875,0.0411084,0.0362055,0.00899742
73.4375,0.0028803,0.00266432,0.00219502
75,0.00214101,0.0018523,0.00286034
76.5625,0.00345106,0.00200286,0.00174857
78.125,0.00332011,0.00128285,0.00167062
79.6875,0.00277424,0.000619427,0.00202098
81.25,0.00394694,0.00415392,0.00262544
82.8125,0.00401517,0.004966,0.00273534
84.375,0.00180964,0.00152632,0.00247467
85.9375,0.00329541,0.00131639,0.00255556
87.5,0.00518216,0.00169157,0.00278022
89.0625,0.00499473,0.00156797,0.0012729
90.625,0.00611619,0.00269138,0.00195963
92.1875,0.0208867,0.00710019,0.00118971
93.75,0.02521,0.0125514,0.00292406
95.3125,0.0107438,0.00727238,0.00182464
96.875,0.00503085,0.00264289,0.00181076
98.4375,0.0212249,0.00175675,0.00793075
100,0.0248985,0.00194595,0.0095253
101.562,0.00758336,0.00105594,0.00339424
103.125,0.00167959,0.00191486,0.00413614
