time (s),vertical,horizontal,axial
3.90625e-05,1.53838,0.174058,0.750313
7.8125e-05,1.81497,0.555882,0.932044
0.000117187,1.37957,0.16248,0.762832
0.00015625,1.27451,-0.832704,0.735918
0.000195313,0.923737,-1.12639,0.629383
0.000234375,0.642205,-0.375549,0.610687
0.000273438,0.509661,0.401946,0.726472
0.0003125,0.131324,0.231639,0.828871
0.000351562,-0.229945,-0.401764,0.949336
0.000390625,-0.519603,-0.497112,0.957045
0.000429688,-0.558537,-0.284665,0.918644
0.00046875,-0.406478,-0.414986,0.872528
0.000507813,-0.470467,-0.576335,0.746232
0.000546875,-0.612864,-0.135087,0.664021
0.000585937,-0.824391,0.436789,0.58109
0.000625,-1.14697,0.0385585,0.475575
0.000664063,-1.37547,-1.08299,0.362116
0.000703125,-1.42715,-1.53897,0.164236
0.000742188,-1.21756,-0.799341,0.0202502
0.00078125,-0.970735,0.208466,-0.0322753
0.000820312,-0.927036,0.267167,-0.0782397
0.000859375,-0.948085,-0.494028,-0.130558
0.000898438,-0.985031,-0.829537,-0.230791
0.0009375,-0.950902,-0.369814,-0.29817
0.000976562,-0.695066,0.110762,-0.332425
0.00101563,-0.311629,0.119151,-0.431686
0.00105469,-0.0168357,-0.143979,-0.533536
0.00109375,0.121973,-0.367662,-0.614744
0.00113281,0.196244,-0.436685,-0.713524
0.00117187,0.189465,-0.338013,-0.841752
0.00121094,0.220946,-0.106587,-0.951917
0.00125,0.461395,0.133914,-0.961382
0.00128906,0.63022,0.196136,-0.92832
0.00132813,0.551694,-0.0414552,-0.929187
0.00136719,0.399472,-0.435032,-0.972969
0.00140625,0.261358,-0.620466,-1.04915
0.00144531,0.186296,-0.454483,-1.12091
0.00148438,0.17748,-0.162747,-1.18887
0.00152344,0.201002,0.0913647,-1.23168
0.0015625,0.238517,0.277217,-1.26622
0.00160156,0.186222,0.278104,-1.35157
0.00164062,-0.0503195,0.165262,-1.46131
0.00167969,-0.398087,0.143239,-1.56695
0.00171875,-0.63554,0.133632,-1.621
0.00175781,-0.717659,0.0149309,-1.66878
0.00179688,-0.79458,-0.178703,-1.81966
0.00183594,-0.872154,-0.397374,-1.98086
0.001875,-0.90176,-0.485935,-2.11118
0.00191406,-0.898665,-0.344132,-2.22099
0.00195312,-0.962556,-0.156904,-2.22007
0.00199219,-1.1885,-0.0771522,-2.15628
0.00203125,-1.42336,-0.0319113,-2.05675
0.00207031,-1.51321,-0.0159775,-1.89664
0.00210938,-1.45961,-0.142168,-1.76779
0.00214844,-1.31778,-0.312112,-1.71339
0.0021875,-1.24397,-0.234156,-1.71463
0.00222656,-1.25703,0.0959211,-1.72178
0.00226562,-1.2483,0.258955,-1.72068
0.00230469,-1.21874,-0.0287841,-1.7535
0.00234375,-1.14238,-0.511086,-1.79065
0.00238281,-0.972993,-0.658084,-1.83284
0.00242187,-0.769689,-0.170553,-1.8617
0.00246094,-0.648571,0.553505,-1.802
0.0025,-0.643042,0.741194,-1.67505
0.00253906,-0.654665,0.331452,-1.50472
0.00257813,-0.613317,-0.0305067,-1.31453
0.00261719,-0.517993,0.0868813,-1.13713
0.00265625,-0.398046,0.610014,-0.980041
0.00269531,-0.293263,1.09773,-0.85756
0.00273438,-0.207285,1.13478,-0.707197
0.00277344,-0.155657,0.75855,-0.57529
0.0028125,-0.136828,0.372866,-0.576816
0.00285156,-0.120611,0.375902,-0.583873
0.00289062,-0.113961,0.755265,-0.508826
0.00292969,-0.172302,1.14252,-0.423738
0.00296875,-0.342259,1.31177,-0.314191
0.00300781,-0.537443,1.28208,-0.132288
0.00304688,-0.710709,1.13275,0.117494
0.00308594,-0.904905,0.958307,0.390874
0.003125,-1.00736,0.886463,0.657997
0.00316406,-0.98409,0.975704,0.8933
0.00320313,-0.93301,1.12598,1.0805
0.00324219,-0.832617,1.24188,1.24922
0.00328125,-0.741886,1.29503,1.33815
0.00332031,-0.799467,1.37417,1.34636
0.00335937,-1.00431,1.60609,1.45184
0.00339844,-1.25764,1.68461,1.6702
0.0034375,-1.45311,1.30351,1.87879
0.00347656,-1.52884,0.890671,2.0612
0.00351563,-1.46866,0.900706,2.23821
0.00355469,-1.38173,1.20464,2.38087
0.00359375,-1.41855,1.47755,2.47226
0.00363281,-1.52586,1.47663,2.5689
0.00367188,-1.5665,1.26933,2.68216
0.00371094,-1.48087,1.22859,2.77949
0.00375,-1.27676,1.47328,2.88187
0.00378906,-1.0633,1.7367,2.99143
0.00382812,-1.0482,1.86332,3.12708
0.00386719,-1.30725,1.91759,3.29253
0.00390625,-1.52822,1.8966,3.41548
0.00394531,-1.43283,1.71927,3.44316
0.00398438,-1.13392,1.48375,3.35549
0.00402344,-0.784209,1.56205,3.24422
0.0040625,-0.547074,2.01136,3.19937
0.00410156,-0.543541,2.20587,3.17112
0.00414063,-0.619256,1.81474,3.17949
0.00417969,-0.609204,1.36089,3.23193
0.00421875,-0.433382,1.40446,3.2878
0.00425781,-0.139446,1.90552,3.40179
