time (s),vertical,horizontal,axial
3.90625e-05,6.66971,-6.18912,-4.42222
7.8125e-05,7.52096,-6.15213,-3.97677
0.000117187,8.34045,-6.11667,-3.52966
0.00015625,9.05508,-6.34657,-3.12088
0.000195313,9.68107,-6.82275,-2.73839
0.000234375,10.1846,-7.21065,-2.38064
0.000273438,10.6075,-7.30505,-2.00502
0.0003125,10.9312,-7.28243,-1.58831
0.000351562,11.1119,-7.41314,-1.12963
0.000390625,11.1667,-7.6828,-0.647118
0.000429688,11.1571,-7.92937,-0.171199
0.00046875,11.168,-8.15954,0.287811
0.000507813,11.1945,-8.44493,0.713076
0.000546875,11.1802,-8.67604,1.09768
0.000585937,11.0969,-8.71238,1.44994
0.000625,10.9099,-8.7148,1.76539
0.000664063,10.6162,-9.00776,2.03819
0.000703125,10.2675,-9.60234,2.25064
0.000742188,9.94783,-10.1419,2.39689
0.00078125,9.71439,-10.3461,2.5048
0.000820312,9.5354,-10.3452,2.59315
0.000859375,9.35953,-10.4783,2.66199
0.000898438,9.17134,-10.821,2.70092
0.0009375,8.98142,-11.1391,2.70706
0.000976562,8.84585,-11.2766,2.69304
0.00101563,8.83157,-11.3197,2.65278
0.00105469,8.94606,-11.4109,2.57331
0.00109375,9.14245,-11.5949,2.45811
0.00113281,9.37848,-11.8343,2.30775
0.00117187,9.62628,-12.0674,2.11324
0.00121094,9.87765,-12.2367,1.8724
0.00125,10.18,-12.3149,1.60798
0.00128906,10.5595,-12.3346,1.34744
0.00132813,10.9552,-12.3872,1.09241
0.00136719,11.3056,-12.5602,0.828183
0.00140625,11.5992,-12.8435,0.54033
0.00144531,11.8508,-13.1299,0.223492
0.00148438,12.0852,-13.3281,-0.120753
0.00152344,12.3213,-13.4211,-0.486857
0.0015625,12.568,-13.4292,-0.868411
0.00160156,12.8108,-13.4009,-1.27356
0.00164062,12.9971,-13.3935,-1.71672
0.00167969,13.0703,-13.4114,-2.20177
0.00171875,13.0303,-13.4348,-2.71803
0.00175781,12.928,-13.4821,-3.25442
0.00179688,12.7941,-13.5888,-3.82948
0.00183594,12.6295,-13.7739,-4.46495
0.001875,12.4434,-14.0173,-5.15689
0.00191406,12.251,-14.2499,-5.89544
0.00195312,12.046,-14.4189,-6.65546
0.00199219,11.7843,-14.5363,-7.40368
0.00203125,11.4333,-14.6291,-8.1212
0.00207031,11.0191,-14.7096,-8.78957
0.00210938,10.5968,-14.8107,-9.40316
0.00214844,10.2109,-14.9681,-9.98224
0.0021875,9.86535,-15.1424,-10.5517
0.00222656,9.53037,-15.2381,-11.1234
0.00226562,9.19354,-15.2388,-11.6968
0.00230469,8.86301,-15.2628,-12.2768
0.00234375,8.55176,-15.4338,-12.8709
0.00238281,8.28658,-15.7249,-13.4807
0.00242187,8.09179,-15.9502,-14.1047
0.00246094,7.95816,-15.9428,-14.7234
0.0025,7.84779,-15.7602,-15.3068
0.00253906,7.73526,-15.6197,-15.8339
0.00257813,7.62744,-15.6264,-16.2924
0.00261719,7.54481,-15.6796,-16.6811
0.00265625,7.50244,-15.6094,-17.0062
0.00269531,7.50216,-15.3451,-17.2784
0.00273438,7.53745,-14.9798,-17.4988
0.00277344,7.59814,-14.6789,-17.6656
0.0028125,7.67136,-14.5235,-17.808
0.00285156,7.75034,-14.4409,-17.9527
0.00289062,7.83275,-14.2846,-18.0848
0.00292969,7.9043,-13.9808,-18.1867
0.00296875,7.93116,-13.57,-18.252
0.00300781,7.88712,-13.1319,-18.2619
0.00304688,7.77154,-12.7276,-18.1896
0.00308594,7.58463,-12.3849,-18.0176
0.003125,7.33995,-12.0888,-17.7426
0.00316406,7.07917,-11.789,-17.3718
0.00320313,6.83172,-11.4428,-16.9206
0.00324219,6.61238,-11.0451,-16.4017
0.00328125,6.42874,-10.6145,-15.834
